4.9791,-0.83518,3.5406,1.1283,1.7512,0.27637,1.3377,-0.46865,0.10681,-0.17309,0.52789,-1.7587,-0.12075,-0.6493,-0.49361,-0.60171,-0.41003,-0.1595,-0.19358,-0.022721
5.2195,-15.819,11.018,-2.6137,-2.0568,2.5718,-1.555,0.85439,0.08609,-0.89302,1.3311,-1.568,1.3127,-0.52549,-0.51388,0.56922,-0.12077,-0.21907,-0.010827,0.09585
11.921,-18.695,9.705,4.9235,0.57639,0.83949,5.2913,-0.53525,4.6038,-1.6921,3.3114,-1.0733,1.8263,1.5022,-0.57782,-0.22889,1.0396,-0.056383,-0.42611,0.13406
3.2676,-0.25828,2.9647,0.81429,2.95,-0.028084,1.5505,-0.36095,1.0723,-1.1642,0.032225,-1.9348,0.17228,-0.60298,-0.55347,-0.18501,-0.14714,0.023476,-0.10517,-0.031673
4.782,-0.62813,2.4977,2.0627,1.4997,0.1702,1.9773,-0.21885,0.53999,-0.18073,0.49395,-1.3469,-0.39096,-0.33529,-0.53023,-0.43076,-0.23235,-0.035664,-0.14284,-0.021525
3.526,-1.2026,2.1164,1.7775,0.99718,0.81635,0.22763,-1.1011,0.75063,-0.15427,0.12633,-1.6284,-0.11652,0.31171,-0.61167,-0.66163,-0.080365,0.07576,-0.12582,-0.014378
3.3606,-13.801,10.544,-3.576,-1.28,1.796,-0.45372,0.069729,-0.51704,0.17171,1.1672,-2.0778,1.5741,-0.25339,-0.62839,0.57,-0.086952,-0.13311,0.011801,0.062611
8.8865,-19.458,12.938,-3.1175,-0.77677,1.7845,-1.3092,0.33405,2.8214,-3.6562,3.1014,-1.5682,1.159,0.20232,-0.97054,0.75945,0.40375,-0.37635,-0.12323,0.17377
6.6251,-0.62177,3.034,0.44375,0.89485,-0.2644,0.94314,-1.221,0.79349,-0.94177,-0.26805,-1.218,-0.65883,-0.45763,-0.26009,-0.15458,-0.14306,-0.11833,0.00094795,-0.061524
-7.7295,-2.8504,3.0512,-2.4264,1.2493,-0.027757,-0.74999,0.84309,-0.34422,-0.40681,1.0176,-1.233,1.0259,-0.56176,0.079344,0.23663,-0.32585,0.24563,-0.10971,0.016541
4.8916,-1.9833,6.0191,-1.6011,6.4183,-1.2437,2.9121,-2.401,1.4367,-0.83205,-0.13455,-1.6749,-1.2065,0.7284,-0.721,-0.38731,-0.76596,0.21509,-0.171,-0.029316
4.5321,-2.3369,3.8101,1.9267,2.0382,-0.67647,1.7033,-1.4574,0.14512,-1.2806,0.32116,-1.8966,-0.75586,-0.1404,-0.81563,-0.84662,-0.026327,-0.17692,-0.18696,-0.0059289
4.4778,-1.0337,3.3577,0.81885,2.1314,0.36205,2.4234,-0.85579,1.6643,-0.33586,0.7892,-1.118,-0.037051,-0.55511,-0.43593,-0.65264,-0.19511,-0.090788,-0.14682,-0.00048747
8.3604,-20.04,11.186,0.6656,-4.9364,2.8998,-0.98742,0.63078,0.24047,-1.5896,1.8124,-1.1128,0.72727,-0.34363,-0.66231,1.1952,-0.43394,-0.3633,0.18662,0.11196
5.8638,-1.1888,3.5277,0.65553,1.4504,-0.18012,-0.068761,-0.99938,0.42867,0.02544,-0.81329,-0.75152,-1.1018,-0.57286,0.18361,-1.4658,0.27562,0.16744,-0.31261,0.1022
7.974,-16.739,8.5709,-0.045445,0.29854,-2.6192,1.155,-1.0537,3.8366,-3.7504,2.0486,-0.017488,1.8354,-1.4083,-0.75279,1.256,0.79419,-0.59691,-0.49345,0.36939
